Tabla 1
TOTAL NACIONAL Y COMUNIDADES AUTÓNOMAS POR DIMENSIONES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;;;;;;;;;2009;;;;;;;;;2010;;;;;;;;;2011;;;;;;;;;2012;;;;;;;;;2013;;;;;;;;;2014;;;;;;;;;2015;;;;;;;;;2016;;;;;;;;;2017;;;;;;;;;2018;;;;;;;;;2019;;;;;;;;;2020;;;;;;;;;2021;;;;;;;;;2022;;;;;;;;
;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9;dim 1;dim 2;dim 3;dim 4;dim 5;dim 6;dim 7;dim 8;dim 9
Total;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;99,20;98,38;99,24;100,12;100,00;99,63;100,00;100,23;100,00;98,78;97,33;100,25;101,22;100,00;100,34;100,00;101,88;100,00;99,30;96,02;101,69;101,88;100,00;100,34;100,00;102,63;100,00;98,65;95,07;101,66;102,31;100,00;100,91;100,00;102,80;100,00;98,20;94,12;100,65;102,89;100,00;101,13;100,00;102,83;100,00;97,63;94,52;101,96;102,52;100,00;100,67;100,00;102,93;100,00;98,23;95,30;102,10;102,92;100,33;101,88;100,00;102,56;100,00;98,53;96,13;102,75;103,19;100,33;101,92;100,00;102,99;100,00;99,67;97,18;104,18;103,73;100,33;102,13;100,00;103,11;100,00;100,47;98,89;103,16;104,49;98,54;101,52;100,00;102,95;104,40;101,08;99,71;103,95;104,99;98,54;101,15;100,00;103,37;104,40;100,13;100,17;101,79;105,85;98,54;101,82;100,00;102,04;104,40;99,88;99,79;101,20;108,85;97,79;101,36;100,00;102,02;103,69;100,27;100,97;102,25;109,56;96,78;100,41;98,56;101,54;102,49
Andalucía;97,86;95,72;97,64;96,36;98,26;100,30;94,87;97,47;101,18;97,05;94,20;96,98;96,54;98,26;99,36;94,87;97,44;101,18;95,69;92,94;98,32;97,53;98,52;100,45;94,87;99,16;101,18;95,49;91,20;98,73;98,08;98,52;100,45;94,87;99,09;101,18;95,87;90,19;99,85;98,49;98,52;100,58;94,87;99,30;101,18;95,20;88,93;99,25;98,55;98,52;101,66;94,87;100,14;101,18;93,42;89,02;100,04;98,04;98,52;101,29;94,87;100,20;101,18;94,96;90,39;100,12;98,95;98,84;102,92;94,87;100,50;101,18;94,67;91,35;101,23;99,42;98,84;102,29;94,87;100,47;101,18;97,25;92,50;103,35;99,32;98,84;102,69;94,87;99,67;101,18;95,94;93,93;101,28;100,08;96,51;101,27;94,87;99,54;102,37;97,41;94,71;101,96;100,68;96,51;101,39;94,87;100,17;102,37;97,20;95,44;99,01;101,04;96,51;101,51;94,87;98,82;102,37;96,24;94,63;98,66;104,51;96,28;101,24;94,87;98,63;103,62;97,09;96,45;100,21;106,55;96,19;100,15;96,37;97,91;102,73
Aragón;104,81;102,63;100,24;102,67;100,23;104,79;97,36;101,29;103,53;105,28;101,19;102,01;102,66;100,23;105,07;97,36;103,68;103,53;104,83;99,99;100,83;104,15;103,74;105,62;97,36;105,68;103,53;104,12;98,43;101,11;105,11;103,74;105,62;97,36;107,05;103,53;103,98;98,42;102,80;105,39;103,74;105,89;97,36;107,79;103,53;101,36;96,90;100,40;105,20;103,74;105,15;97,36;105,98;103,53;102,12;97,44;103,63;104,47;103,74;104,93;97,36;106,71;103,53;103,69;98,47;102,28;103,87;103,66;106,83;97,36;106,95;103,53;103,61;99,23;103,28;104,39;103,66;106,91;97,36;106,90;103,53;105,11;100,20;104,56;105,51;103,66;106,95;97,36;107,01;103,53;105,12;102,10;102,39;106,18;104,20;105,81;97,36;107,63;110,51;105,31;102,85;103,61;105,53;104,20;106,58;97,36;108,07;110,51;105,15;103,25;104,26;106,45;104,20;106,45;97,36;106,14;110,51;103,72;103,08;102,10;109,62;103,77;105,80;97,36;105,62;108,04;104,58;104,11;102,83;111,19;100,49;104,91;98,66;105,06;104,81
Asturias, Principado de;105,37;100,25;96,87;103,41;99,97;107,13;100,23;104,89;104,51;104,83;98,46;95,74;102,36;99,97;107,17;100,23;104,72;104,51;105,53;97,82;96,89;102,08;102,13;107,09;100,23;106,99;104,51;105,50;96,76;98,84;104,17;102,13;107,09;100,23;106,27;104,51;104,80;95,63;101,97;104,89;102,13;108,44;100,23;108,59;104,51;103,11;93,74;97,83;105,19;102,13;109,14;100,23;107,39;104,51;102,73;94,58;101,54;105,87;102,13;108,40;100,23;108,58;104,51;102,20;95,14;99,14;105,36;101,63;109,44;100,23;108,27;104,51;104,04;95,92;99,31;105,19;101,63;108,00;100,23;107,44;104,51;103,48;97,80;101,21;105,43;101,63;108,82;100,23;108,22;104,51;103,86;98,82;100,68;105,77;97,92;108,76;100,23;108,01;104,94;102,36;99,03;101,31;106,04;97,92;108,15;100,23;106,91;104,94;102,23;99,67;102,45;108,66;97,92;108,84;100,23;105,83;104,94;102,88;99,44;99,68;110,89;96,40;109,05;100,23;105,86;103,99;103,50;99,20;99,89;111,97;95,88;107,75;100,67;105,44;103,84
Balears, Illes;99,57;101,54;100,46;92,58;99,06;98,06;109,35;102,02;106,63;98,05;99,69;99,29;93,88;99,06;99,54;109,35;103,23;106,63;98,22;99,34;101,79;95,02;99,06;99,56;109,35;104,14;106,63;96,94;97,37;101,85;97,16;99,06;99,56;109,35;104,50;106,63;97,81;97,80;104,14;97,22;99,06;98,80;109,35;106,04;106,63;96,50;97,10;100,81;98,48;99,06;100,20;109,35;103,16;106,63;95,78;97,54;102,22;97,49;99,06;99,24;109,35;103,68;106,63;96,15;99,12;103,11;97,78;102,57;100,72;109,35;102,10;106,63;100,26;100,08;104,13;97,87;102,57;99,49;109,35;102,86;106,63;98,08;100,65;104,59;98,96;102,57;100,92;109,35;101,61;106,63;101,89;102,00;104,26;99,96;103,02;100,46;109,35;103,51;112,49;102,49;102,03;104,46;100,96;103,02;99,96;109,35;101,68;112,49;101,86;102,58;102,34;102,84;103,02;102,64;109,35;103,99;112,49;99,83;102,36;100,76;105,18;101,07;102,62;109,35;103,90;108,78;100,14;103,77;103,79;104,62;97,20;101,02;104,68;103,68;105,73
Canarias;95,62;95,79;98,16;97,27;90,02;101,96;99,07;99,04;100,43;92,74;92,63;97,88;97,87;90,02;100,46;99,07;99,95;100,43;94,66;90,64;99,48;97,73;92,66;102,66;99,07;102,28;100,43;94,80;90,52;101,17;97,20;92,66;102,66;99,07;101,28;100,43;93,72;89,50;100,23;98,76;92,66;101,43;99,07;100,51;100,43;93,32;88,68;101,02;99,78;92,66;101,03;99,07;99,48;100,43;92,64;88,13;101,69;98,69;92,66;101,49;99,07;100,48;100,43;90,67;90,19;100,71;98,38;95,16;102,36;99,07;96,65;100,43;91,00;91,52;100,04;99,07;95,16;101,64;99,07;98,32;100,43;93,32;92,77;100,15;101,33;95,16;101,63;99,07;98,23;100,43;96,28;94,94;101,62;101,83;95,07;102,42;99,07;101,54;107,59;98,17;95,26;101,33;102,87;95,07;102,75;99,07;101,40;107,59;93,82;95,79;98,11;102,86;95,07;101,23;99,07;96,18;107,59;93,29;94,47;98,39;106,33;94,32;101,17;99,07;97,29;105,54;93,73;96,88;100,88;107,41;93,57;100,40;95,26;95,55;103,59
Cantabria;102,11;101,35;101,53;101,71;102,09;108,25;96,03;105,49;100,60;102,37;99,77;100,02;101,85;102,09;108,29;96,03;104,43;100,60;100,58;99,58;99,76;102,92;104,33;107,77;96,03;104,85;100,60;100,92;98,07;100,60;103,08;104,33;107,77;96,03;105,48;100,60;101,76;98,02;100,67;104,64;104,33;108,15;96,03;106,37;100,60;99,43;95,98;100,61;105,43;104,33;108,40;96,03;106,72;100,60;100,98;95,85;101,22;105,46;104,33;108,22;96,03;108,22;100,60;102,01;97,18;100,54;106,39;104,71;108,25;96,03;106,86;100,60;100,01;97,67;100,90;106,23;104,71;108,24;96,03;107,88;100,60;103,92;98,11;106,89;107,40;104,71;109,40;96,03;109,73;100,60;102,42;100,33;104,00;108,31;105,06;108,96;96,03;108,66;106,38;103,68;101,45;105,65;107,59;105,06;108,20;96,03;108,05;106,38;103,39;100,62;101,99;108,80;105,06;109,47;96,03;107,32;106,38;103,69;101,14;100,65;111,48;103,24;108,16;96,03;107,67;104,35;104,23;101,97;101,76;113,20;97,42;107,94;96,67;107,64;101,74
Castilla y León;101,38;98,92;99,48;101,85;98,47;105,76;91,22;105,03;89,20;100,78;98,02;99,13;101,28;98,47;106,33;91,22;105,71;89,20;99,97;97,70;98,83;102,80;98,11;106,13;91,22;106,40;89,20;101,15;96,49;101,28;102,71;98,11;106,13;91,22;106,23;89,20;101,26;95,88;100,74;104,10;98,11;105,70;91,22;107,89;89,20;101,14;94,83;100,60;104,58;98,11;106,45;91,22;108,70;89,20;99,83;94,62;103,25;103,78;98,11;106,55;91,22;108,59;89,20;100,53;95,43;104,04;104,06;97,26;106,87;91,22;108,25;89,20;101,21;96,23;103,81;103,21;97,26;106,99;91,22;108,70;89,20;102,49;97,10;103,04;103,53;97,26;107,10;91,22;108,22;89,20;103,86;99,86;102,20;104,85;102,38;106,88;91,22;107,99;98,06;104,24;100,44;103,46;106,02;102,38;106,67;91,22;108,48;98,06;103,49;100,85;100,51;105,58;102,38;106,85;91,22;107,21;98,06;102,54;100,69;100,83;109,28;101,25;106,53;91,22;107,36;97,41;102,39;101,85;101,95;110,43;98,03;105,72;91,67;106,71;96,35
Castilla - La Mancha;99,82;99,46;96,82;95,47;98,85;105,40;101,29;103,49;99,57;99,22;97,56;96,03;97,07;98,85;105,02;101,29;103,22;99,57;98,20;96,21;98,00;97,67;99,54;106,89;101,29;105,59;99,57;99,02;95,80;100,15;97,93;99,54;106,89;101,29;105,34;99,57;97,14;93,57;101,23;98,66;99,54;106,07;101,29;106,35;99,57;96,97;92,68;99,14;99,42;99,54;106,30;101,29;106,36;99,57;98,10;93,10;100,41;100,61;99,54;106,14;101,29;107,21;99,57;97,23;93,10;99,41;99,65;99,37;106,46;101,29;105,39;99,57;97,02;94,06;99,96;99,06;99,37;105,97;101,29;105,67;99,57;98,98;95,84;102,48;99,60;99,37;107,15;101,29;105,79;99,57;99,16;97,13;101,97;100,07;96,69;106,51;101,29;104,97;101,37;100,95;98,21;102,55;100,74;96,69;105,41;101,29;107,28;101,37;101,61;98,49;101,66;101,22;96,69;105,41;101,29;106,15;101,37;100,09;98,80;100,05;103,96;95,94;105,50;101,29;105,92;100,07;100,12;100,10;101,45;105,01;96,47;104,31;100,79;105,05;101,14
